6.7s 1 /kaggle/input/cifar10-python/cifar-10-python.tar.gz
6.7s 2 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_1
6.7s 3 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_2
6.7s 4 /kaggle/input/cifar10-python/cifar-10-batches-py/batches.meta
6.7s 5 /kaggle/input/cifar10-python/cifar-10-batches-py/test_batch
6.7s 6 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_3
6.7s 7 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_5
6.7s 8 /kaggle/input/cifar10-python/cifar-10-batches-py/data_batch_4
6.7s 9 /kaggle/input/cifar10-python/cifar-10-batches-py/readme.html
10.4s 10 /opt/conda/lib/python3.10/site-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.16.5 and <1.23.0 is required for this version of SciPy (detected version 1.23.5
10.4s 11 warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
12.7s 12 Files already downloaded and verified
62.0s 13 [1, 200] loss: 2.449
101.1s 14 [1, 400] loss: 1.927
140.1s 15 [1, 600] loss: 1.747
179.1s 16 [1, 800] loss: 1.646
218.2s 17 [1, 1000] loss: 1.544
257.1s 18 [1, 1200] loss: 1.503
296.1s 19 [1, 1400] loss: 1.445
366.8s 20 [2, 200] loss: 1.332
405.7s 21 [2, 400] loss: 1.299
444.8s 22 [2, 600] loss: 1.251
483.8s 23 [2, 800] loss: 1.170
522.8s 24 [2, 1000] loss: 1.137
561.7s 25 [2, 1200] loss: 1.136
600.9s 26 [2, 1400] loss: 1.089
671.6s 27 [3, 200] loss: 1.015
710.5s 28 [3, 400] loss: 0.992
749.5s 29 [3, 600] loss: 0.939
788.5s 30 [3, 800] loss: 0.919
827.5s 31 [3, 1000] loss: 0.931
866.5s 32 [3, 1200] loss: 0.876
905.4s 33 [3, 1400] loss: 0.839
976.0s 34 [4, 200] loss: 0.751
1015.0s 35 [4, 400] loss: 0.764
1053.8s 36 [4, 600] loss: 0.754
1092.8s 37 [4, 800] loss: 0.730
1131.7s 38 [4, 1000] loss: 0.721
1170.6s 39 [4, 1200] loss: 0.693
1209.7s 40 [4, 1400] loss: 0.653
1280.3s 41 [5, 200] loss: 0.601
1319.2s 42 [5, 400] loss: 0.597
1358.1s 43 [5, 600] loss: 0.586
1397.1s 44 [5, 800] loss: 0.583
1436.1s 45 [5, 1000] loss: 0.611
1475.0s 46 [5, 1200] loss: 0.567
1513.9s 47 [5, 1400] loss: 0.579
1584.6s 48 [6, 200] loss: 0.476
1623.7s 49 [6, 400] loss: 0.509
1662.5s 50 [6, 600] loss: 0.484
1701.4s 51 [6, 800] loss: 0.503
1740.4s 52 [6, 1000] loss: 0.517
1779.3s 53 [6, 1200] loss: 0.487
1818.4s 54 [6, 1400] loss: 0.472
1888.9s 55 [7, 200] loss: 0.384
1927.8s 56 [7, 400] loss: 0.415
1966.6s 57 [7, 600] loss: 0.439
2005.7s 58 [7, 800] loss: 0.409
2044.6s 59 [7, 1000] loss: 0.442
2083.4s 60 [7, 1200] loss: 0.414
2122.2s 61 [7, 1400] loss: 0.424
2192.6s 62 [8, 200] loss: 0.343
2231.5s 63 [8, 400] loss: 0.368
2270.2s 64 [8, 600] loss: 0.349
2309.0s 65 [8, 800] loss: 0.345
2347.8s 66 [8, 1000] loss: 0.381
2386.7s 67 [8, 1200] loss: 0.358
2425.6s 68 [8, 1400] loss: 0.365
2496.1s 69 [9, 200] loss: 0.302
2535.0s 70 [9, 400] loss: 0.298
2573.9s 71 [9, 600] loss: 0.309
2612.9s 72 [9, 800] loss: 0.316
2652.0s 73 [9, 1000] loss: 0.301
2690.9s 74 [9, 1200] loss: 0.310
2729.8s 75 [9, 1400] loss: 0.322
2800.3s 76 [10, 200] loss: 0.216
2839.3s 77 [10, 400] loss: 0.266
2878.2s 78 [10, 600] loss: 0.263
2917.0s 79 [10, 800] loss: 0.253
2955.9s 80 [10, 1000] loss: 0.258
2994.9s 81 [10, 1200] loss: 0.275
3034.0s 82 [10, 1400] loss: 0.284
3104.6s 83 [11, 200] loss: 0.210
3143.6s 84 [11, 400] loss: 0.213
3182.5s 85 [11, 600] loss: 0.207
3221.5s 86 [11, 800] loss: 0.233
3260.4s 87 [11, 1000] loss: 0.225
3299.4s 88 [11, 1200] loss: 0.246
3338.4s 89 [11, 1400] loss: 0.232
3409.2s 90 [12, 200] loss: 0.186
3448.1s 91 [12, 400] loss: 0.171
3487.0s 92 [12, 600] loss: 0.185
3525.9s 93 [12, 800] loss: 0.200
3564.8s 94 [12, 1000] loss: 0.207
3603.8s 95 [12, 1200] loss: 0.195
3642.7s 96 [12, 1400] loss: 0.221
3713.1s 97 [13, 200] loss: 0.136
3751.9s 98 [13, 400] loss: 0.156
3790.6s 99 [13, 600] loss: 0.155
3829.4s 100 [13, 800] loss: 0.171
3868.2s 101 [13, 1000] loss: 0.184
3907.0s 102 [13, 1200] loss: 0.173
3945.7s 103 [13, 1400] loss: 0.161
4016.2s 104 [14, 200] loss: 0.128
4054.9s 105 [14, 400] loss: 0.132
4093.7s 106 [14, 600] loss: 0.144
4132.3s 107 [14, 800] loss: 0.141
4171.0s 108 [14, 1000] loss: 0.150
4209.7s 109 [14, 1200] loss: 0.153
4248.4s 110 [14, 1400] loss: 0.167
4318.4s 111 [15, 200] loss: 0.108
4357.1s 112 [15, 400] loss: 0.113
4395.8s 113 [15, 600] loss: 0.120
4434.6s 114 [15, 800] loss: 0.119
4473.2s 115 [15, 1000] loss: 0.147
4511.9s 116 [15, 1200] loss: 0.151
4550.5s 117 [15, 1400] loss: 0.134
4620.8s 118 [16, 200] loss: 0.096
4660.0s 119 [16, 400] loss: 0.094
4699.2s 120 [16, 600] loss: 0.095
4738.2s 121 [16, 800] loss: 0.113
4777.1s 122 [16, 1000] loss: 0.124
4815.9s 123 [16, 1200] loss: 0.128
4854.6s 124 [16, 1400] loss: 0.119
4924.8s 125 [17, 200] loss: 0.097
4963.5s 126 [17, 400] loss: 0.098
5002.1s 127 [17, 600] loss: 0.102
5040.9s 128 [17, 800] loss: 0.108
5079.5s 129 [17, 1000] loss: 0.104
5118.2s 130 [17, 1200] loss: 0.094
5156.9s 131 [17, 1400] loss: 0.110
5227.2s 132 [18, 200] loss: 0.076
5265.9s 133 [18, 400] loss: 0.081
5304.6s 134 [18, 600] loss: 0.076
5343.3s 135 [18, 800] loss: 0.090
5381.9s 136 [18, 1000] loss: 0.084
5420.8s 137 [18, 1200] loss: 0.096
5459.4s 138 [18, 1400] loss: 0.107
5529.6s 139 [19, 200] loss: 0.066
5568.2s 140 [19, 400] loss: 0.065
5606.9s 141 [19, 600] loss: 0.071
5645.8s 142 [19, 800] loss: 0.089
5684.6s 143 [19, 1000] loss: 0.074
5723.3s 144 [19, 1200] loss: 0.075
5761.9s 145 [19, 1400] loss: 0.087
5832.3s 146 [20, 200] loss: 0.059
5871.0s 147 [20, 400] loss: 0.070
5909.8s 148 [20, 600] loss: 0.064
5948.5s 149 [20, 800] loss: 0.062
5987.1s 150 [20, 1000] loss: 0.067
6025.9s 151 [20, 1200] loss: 0.060
6064.6s 152 [20, 1400] loss: 0.082
6134.8s 153 [21, 200] loss: 0.055
6173.5s 154 [21, 400] loss: 0.056
6212.2s 155 [21, 600] loss: 0.046
6250.9s 156 [21, 800] loss: 0.057
6289.5s 157 [21, 1000] loss: 0.062
6328.2s 158 [21, 1200] loss: 0.064
6366.9s 159 [21, 1400] loss: 0.069
6437.0s 160 [22, 200] loss: 0.046
6475.9s 161 [22, 400] loss: 0.052
6514.6s 162 [22, 600] loss: 0.048
6553.2s 163 [22, 800] loss: 0.056
6591.7s 164 [22, 1000] loss: 0.055
6630.4s 165 [22, 1200] loss: 0.063
6669.0s 166 [22, 1400] loss: 0.057
6739.0s 167 [23, 200] loss: 0.048
6777.5s 168 [23, 400] loss: 0.039
6816.1s 169 [23, 600] loss: 0.050
6854.9s 170 [23, 800] loss: 0.057
6893.5s 171 [23, 1000] loss: 0.048
6932.1s 172 [23, 1200] loss: 0.064
6970.6s 173 [23, 1400] loss: 0.060
7040.5s 174 [24, 200] loss: 0.042
7079.3s 175 [24, 400] loss: 0.043
7117.9s 176 [24, 600] loss: 0.044
7156.5s 177 [24, 800] loss: 0.043
7195.0s 178 [24, 1000] loss: 0.056
7233.6s 179 [24, 1200] loss: 0.049
7272.3s 180 [24, 1400] loss: 0.052
7342.4s 181 [25, 200] loss: 0.036
7381.1s 182 [25, 400] loss: 0.044
7419.8s 183 [25, 600] loss: 0.037
7458.4s 184 [25, 800] loss: 0.042
7497.2s 185 [25, 1000] loss: 0.043
